Asset,Model,Model Family,Feature Set,Input Type,Feature Type,Strategy Mode,Strategy Label,Cost Regime,Long Threshold,Short Threshold,Threshold Feasible,Validation Sharpe,Validation Precision,Validation Recall,Validation Avg Return,Validation Trades,Validation Signal Ratio,Test Sharpe,Test Precision,Test Recall,Test Avg Return,Cumulative Return,Maximum Drawdown,Turnover,Number of Trades,Annualized Sharpe,Model Params,Log Path,Feasibility Bucket
BTC,GRU,ML,candle_extended,candle,extended,long_only,long,no_cost,0.5700000000000001,,True,0.206345602371968,0.6225165562913907,0.0168670375022429,0.0018843142591752,256.0,0.013818980507001,0.1558366604626516,0.625,0.0198233916020904,0.0011808589308837,0.2246642620148236,-0.0839910095973012,194.0,194.0,1.83420890293646,"{""lookback_hours"": 24, ""model_dir"": ""models/gru/candle_extended/btc""}",data/trading_logs/no_cost/long_only/gru/candle_extended/btc/trading_log.csv,feasible
BTC,GRU,ML,candle_extended,candle,extended,long_only,long,with_cost,0.5700000000000001,,True,0.1738777494956477,0.6225165562913907,0.0168670375022429,0.0015876255174533,256.0,0.013818980507001,0.1307285820448653,0.625,0.0198233916020904,0.000987961203611,0.1443334567577971,-0.0872052525268827,194.0,194.0,1.2418013354982615,"{""lookback_hours"": 24, ""model_dir"": ""models/gru/candle_extended/btc""}",data/trading_logs/with_cost/long_only/gru/candle_extended/btc/trading_log.csv,feasible
BTC,GRU,ML,candle_extended,candle,extended,long_short,long_short,no_cost,0.56,0.56,True,0.0950032532583083,0.6145124716553289,0.024313655122914,0.0007059372423597,660.0,0.0403587443946188,0.0306834406536752,0.5325494986511936,0.0199054754498784,0.0002199173953029,0.079074148766097,-0.1657969022613368,460.0,456.0,0.5443098529845654,"{""lookback_hours"": 24, ""model_dir"": ""models/gru/candle_extended/btc""}",data/trading_logs/no_cost/long_short/gru/candle_extended/btc/trading_log.csv,feasible
BTC,GRU,ML,candle_extended,candle,extended,long_short,long_short,with_cost,0.56,0.56,True,0.0597381697657613,0.6145124716553289,0.024313655122914,0.0004440324804549,660.0,0.0403587443946188,0.0015302923161857,0.5325494986511936,0.0199054754498784,1.0988823874334867e-05,-0.081435913171061,-0.186901140770803,460.0,456.0,-0.4712389322683539,"{""lookback_hours"": 24, ""model_dir"": ""models/gru/candle_extended/btc""}",data/trading_logs/with_cost/long_short/gru/candle_extended/btc/trading_log.csv,feasible
BTC,GRU,ML,candle_extended,candle,extended,short_only,short,no_cost,,0.5,True,-0.007307246763132,0.5003257328990228,0.5739910313901345,-3.714201040422663e-05,1535.0,0.5619108629999084,-0.0099987192452087,0.4937938997402097,0.9539033457249072,-4.812774897533395e-05,-0.4623846965821436,-0.6317366601949276,625.0,626.0,-0.9125919587819576,"{""lookback_hours"": 24, ""model_dir"": ""models/gru/candle_extended/btc""}",data/trading_logs/no_cost/short_only/gru/candle_extended/btc/trading_log.csv,feasible
BTC,GRU,ML,candle_extended,candle,extended,short_only,short,with_cost,,0.5,True,-0.0159161439236567,0.5003257328990228,0.5739910313901345,-8.092051203289113e-05,1535.0,0.5619108629999084,-0.0121959774815615,0.4937938997402097,0.9539033457249072,-5.870217406914707e-05,-0.5683254447937346,-0.6856276004913292,625.0,626.0,-1.3129464200159555,"{""lookback_hours"": 24, ""model_dir"": ""models/gru/candle_extended/btc""}",data/trading_logs/with_cost/short_only/gru/candle_extended/btc/trading_log.csv,feasible
BTC,GRU,ML,candle_raw,candle,raw,long_only,long,no_cost,0.51,,True,0.025295617180715,0.5315315315315315,0.010586757581195,0.0003183607160839,144.0,0.0101583234190537,0.1533433842221373,0.5307692307692308,0.0124346729140385,0.0016305226401508,0.2270104111727617,-0.0504496302307643,164.0,164.0,1.5532083114206705,"{""lookback_hours"": 24, ""model_dir"": ""models/gru/candle_raw/btc""}",data/trading_logs/no_cost/long_only/gru/candle_raw/btc/trading_log.csv,feasible
BTC,GRU,ML,candle_raw,candle,raw,long_only,long,with_cost,0.51,,True,0.007249912198782,0.5315315315315315,0.010586757581195,9.133368905693804e-05,144.0,0.0101583234190537,0.1324813791152572,0.5307692307692308,0.0124346729140385,0.0014097534093816,0.1585920648663705,-0.0534539021171438,164.0,164.0,1.1346352407933535,"{""lookback_hours"": 24, ""model_dir"": ""models/gru/candle_raw/btc""}",data/trading_logs/with_cost/long_only/gru/candle_raw/btc/trading_log.csv,feasible
BTC,GRU,ML,candle_raw,candle,raw,long_short,long_short,no_cost,0.54,0.5,True,0.0073288645485599,0.7520976353928299,0.0618423341291305,2.9409941237683533e-05,610.0,0.120069552484671,0.0026184092860239,0.5817263544536272,0.4027711212241597,1.0860573231368102e-05,0.0199865453266006,-0.3805363284203685,723.0,719.0,0.2189209106418552,"{""lookback_hours"": 24, ""model_dir"": ""models/gru/candle_raw/btc""}",data/trading_logs/no_cost/long_short/gru/candle_raw/btc/trading_log.csv,feasible
BTC,GRU,ML,candle_raw,candle,raw,long_short,long_short,with_cost,0.54,0.5,True,-0.0129521034732503,0.7520976353928299,0.0618423341291305,-5.195438803060914e-05,610.0,0.120069552484671,-0.0009228717725467,0.5817263544536272,0.4027711212241597,-3.828109259171949e-06,-0.2080810102036077,-0.4212180703166724,723.0,719.0,-0.3658957627646017,"{""lookback_hours"": 24, ""model_dir"": ""models/gru/candle_raw/btc""}",data/trading_logs/with_cost/long_short/gru/candle_raw/btc/trading_log.csv,feasible
BTC,GRU,ML,candle_raw,candle,raw,short_only,short,no_cost,,0.5,True,0.005980199266758,0.5041952707856598,0.1235052316890882,2.3978179426990677e-05,608.0,0.1199780360574723,0.000921311466162,0.4967860422405877,0.8044609665427509,3.79069304555982e-06,-0.0398289035204183,-0.385931625830998,705.0,705.0,0.0769896364689377,"{""lookback_hours"": 24, ""model_dir"": ""models/gru/candle_raw/btc""}",data/trading_logs/no_cost/short_only/gru/candle_raw/btc/trading_log.csv,feasible
BTC,GRU,ML,candle_raw,candle,raw,short_only,short,with_cost,,0.5,True,-0.0142656058580068,0.5041952707856598,0.1235052316890882,-5.71812408628644e-05,608.0,0.1199780360574723,-0.0025249563176665,0.4967860422405877,0.8044609665427509,-1.039089556784695e-05,-0.2498250822460466,-0.4283674316212541,705.0,705.0,-0.4980884415226203,"{""lookback_hours"": 24, ""model_dir"": ""models/gru/candle_raw/btc""}",data/trading_logs/with_cost/short_only/gru/candle_raw/btc/trading_log.csv,feasible
BTC,GRU,ML,ohlc_extended,ohlc,extended,long_only,long,no_cost,0.55,,True,0.0308321117362087,0.585635359116022,0.0570608289969495,0.0002112299804301,698.0,0.0496934199688844,0.1022181228577345,0.563953488372093,0.0349612542800504,0.0006854152668512,0.256063213076213,-0.0656802137326788,354.0,354.0,1.6911747985780168,"{""lookback_hours"": 24, ""model_dir"": ""models/gru/ohlc_extended/btc""}",data/trading_logs/no_cost/long_only/gru/ohlc_extended/btc/trading_log.csv,feasible
BTC,GRU,ML,ohlc_extended,ohlc,extended,long_only,long,with_cost,0.55,,True,-0.0020046190682291,0.585635359116022,0.0570608289969495,-1.372397905423273e-05,698.0,0.0496934199688844,0.0753030028750166,0.563953488372093,0.0349612542800504,0.0005053280575488,0.1097045497780409,-0.0740445739447177,354.0,354.0,0.8031173127086824,"{""lookback_hours"": 24, ""model_dir"": ""models/gru/ohlc_extended/btc""}",data/trading_logs/with_cost/long_only/gru/ohlc_extended/btc/trading_log.csv,feasible
BTC,GRU,ML,ohlc_extended,ohlc,extended,long_short,long_short,no_cost,0.55,0.5700000000000001,True,0.0308407416805304,0.7928176795580111,0.0286238375179067,0.0002110944796085,700.0,0.0497849363960831,0.1022181228577345,0.563953488372093,0.0174806271400252,0.0006854152668512,0.256063213076213,-0.0656802137326788,354.0,354.0,1.6911747985780168,"{""lookback_hours"": 24, ""model_dir"": ""models/gru/ohlc_extended/btc""}",data/trading_logs/no_cost/long_short/gru/ohlc_extended/btc/trading_log.csv,feasible
